RESOLVED	spine-unity	Spine.ExposedList`1+Enumerator	System.Collections.IEnumerator.get_Current	Spine.ExposedList`1<T>+Enumerator<T>	GenericInstanceTypeAnalysisContext	10	0	THIS	NEITHER	Spine.ExposedList`1<T>+Enumerator<T>	l	Spine.ExposedList`1<T>	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	Reset	Spine.TrackEntry	TypeAnalysisContext	B8	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	timelineMode	Spine.ExposedList`1<System.Int32>	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	Reset	Spine.TrackEntry	TypeAnalysisContext	C0	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	timelineHoldMix	Spine.ExposedList`1<Spine.TrackEntry>	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	Reset	Spine.TrackEntry	TypeAnalysisContext	C8	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	timelinesRotation	Spine.ExposedList`1<System.Single>	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	set_ParentMesh	Spine.MeshAttachment	TypeAnalysisContext	20	0	PARAMETER	CLASS_OBJECT_RELATIVE	Spine.VertexAttachment	bones	System.Int32[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	set_ParentMesh	Spine.MeshAttachment	TypeAnalysisContext	28	0	PARAMETER	CLASS_OBJECT_RELATIVE	Spine.VertexAttachment	vertices	System.Single[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	set_ParentMesh	Spine.MeshAttachment	TypeAnalysisContext	30	0	PARAMETER	CLASS_OBJECT_RELATIVE	Spine.VertexAttachment	worldVerticesLength	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	set_ParentMesh	Spine.MeshAttachment	TypeAnalysisContext	68	0	PARAMETER	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	regionUVs	System.Single[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	set_ParentMesh	Spine.MeshAttachment	TypeAnalysisContext	70	0	PARAMETER	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	triangles	System.Int32[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	set_ParentMesh	Spine.MeshAttachment	TypeAnalysisContext	88	0	PARAMETER	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	hulllength	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	set_ParentMesh	Spine.MeshAttachment	TypeAnalysisContext	B8	0	PARAMETER	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<Edges>k__BackingField	System.Int32[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_TrackIndex	Spine.TrackEntry	TypeAnalysisContext	60	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	trackIndex	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	set_ParentMesh	Spine.MeshAttachment	TypeAnalysisContext	C0	0	PARAMETER	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<Width>k__BackingField	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_Animation	Spine.TrackEntry	TypeAnalysisContext	10	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	animation	Spine.Animation	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_Loop	Spine.TrackEntry	TypeAnalysisContext	64	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	loop	System.Boolean	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_Edges	Spine.MeshAttachment	TypeAnalysisContext	B8	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<Edges>k__BackingField	System.Int32[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_Delay	Spine.TrackEntry	TypeAnalysisContext	84	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	delay	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_Width	Spine.MeshAttachment	TypeAnalysisContext	C0	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<Width>k__BackingField	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.ExposedList`1	.ctor	Spine.ExposedList`1<T>	GenericInstanceTypeAnalysisContext	0	0	STATIC_FIELD	CLASS_OBJECT_RELATIVE	Spine.ExposedList`1<T>	EmptyArray	T[]	STATIC	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_TrackTime	Spine.TrackEntry	TypeAnalysisContext	88	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	trackTime	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_Height	Spine.MeshAttachment	TypeAnalysisContext	C4	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	<Height>k__BackingField	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_TrackEnd	Spine.TrackEntry	TypeAnalysisContext	94	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	trackEnd	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationStart	Spine.TrackEntry	TypeAnalysisContext	74	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	animationStart	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationEnd	Spine.TrackEntry	TypeAnalysisContext	78	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	animationEnd	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationLast	Spine.TrackEntry	TypeAnalysisContext	7C	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	animationLast	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	18	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	json	System.Char[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	20	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	index	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	20	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	index	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	20	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	index	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	28	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	stringBuffer	System.Char[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	20	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	index	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	28	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	stringBuffer	System.Char[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	28	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	stringBuffer	System.Char[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationTime	Spine.TrackEntry	TypeAnalysisContext	74	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	animationStart	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	28	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	stringBuffer	System.Char[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	28	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	stringBuffer	System.Char[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	28	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	stringBuffer	System.Char[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationTime	Spine.TrackEntry	TypeAnalysisContext	78	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	animationEnd	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationTime	Spine.TrackEntry	TypeAnalysisContext	74	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	animationStart	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationTime	Spine.TrackEntry	TypeAnalysisContext	88	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	trackTime	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationTime	Spine.TrackEntry	TypeAnalysisContext	88	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	trackTime	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationTime	Spine.TrackEntry	TypeAnalysisContext	74	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	animationStart	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationTime	Spine.TrackEntry	TypeAnalysisContext	78	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	animationEnd	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_AnimationTime	Spine.TrackEntry	TypeAnalysisContext	64	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	loop	System.Boolean	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_TimeScale	Spine.TrackEntry	TypeAnalysisContext	98	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	timeScale	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_Alpha	Spine.TrackEntry	TypeAnalysisContext	9C	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	alpha	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	get_EventThreshold	Spine.TrackEntry	TypeAnalysisContext	68	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	eventThreshold	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.VertexAttachment	ComputeWorldVertices	Spine.VertexAttachment	TypeAnalysisContext	30	0	THIS	CLASS_OBJECT_RELATIVE	Spine.VertexAttachment	worldVerticesLength	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	28	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	stringBuffer	System.Char[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	ParseString	SharpJson.Lexer	TypeAnalysisContext	28	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	stringBuffer	System.Char[]	INSTANCE	-	DIRECT
