negative offset off a typed base	spine-unity	Spine.ExposedList`1	AddEnumerable	System.Int32	System.ValueType	TypeAnalysisContext	FFFFFFFFFFFFFFF8	0	1	0	Add	[v567 @ X10_v7 (System.Int32)-8]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	AddEnumerable	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	[v488 @ X10_v15-8]
base has no type, from Add of Single[] and Int32	spine-unity	Spine.EventTimeline	Apply	<untyped>			20	0	0	0	Add	[v337 @ X8_v16+20]
base has no type, from Add of Single[] and Int32	spine-unity	Spine.EventTimeline	Apply	<untyped>			20	0	0	0	Add	[v337 @ X8_v16+20]
base has no type, from Add of Single[] and Immediate	spine-unity	Spine.EventTimeline	Apply	<untyped>			0	0	0	0	Add	[v341 @ X12_v5+v343 @ X11_v6 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.ExposedList`1	Clear	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field T[]	[v9 @ X0_v2 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	[v127 @ X0_v9 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	[v128 @ X0_v12 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Int32[]	[v129 @ X0_v15 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Int32[]	[v130 @ X0_v20 (System.Array)+18]
base has no type, from no definition	spine-unity	Spine.ExposedList`1	ConvertAll	<untyped>			28	0	0	0	<none>	[v27 @ SYSREG+28]
Il2CppClass.0x104	spine-unity	Spine.ExposedList`1	ConvertAll	Il2CppClass<T[]>		RuntimeClassTypeAnalysisContext	104	0	0	0	Move:memory	[v351 @ X9_v14 (Il2CppClass<T[]>)+104]
past the last field of the base type	spine-unity	Spine.PathAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	[v61 @ X0_v9 (System.Array)+18]
Il2CppClass.0x104	spine-unity	Spine.ExposedList`1	ConvertAll	Il2CppClass<TOutput[]>		RuntimeClassTypeAnalysisContext	104	0	0	0	Move:memory	[v390 @ X8_v24 (Il2CppClass<TOutput[]>)+104]
base has no type, from Move from AddressOf(an untyped local)	spine-unity	Spine.ExposedList`1	ConvertAll	<untyped>			FFFFFFFFFFFFFFD8	0	0	0	Move:AddressOf	[v24 @ X29_v1-28]
base has no type, from Move from an untyped base	spine-unity	Spine.ExposedList`1	ConvertAll	<untyped>			28	0	0	0	Move:memory	[v260 @ X8_v12+28]
base has no type, from Move from AddressOf(an untyped local)	spine-unity	Spine.ExposedList`1	ConvertAll	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Move:AddressOf	[v24 @ X29_v1-8]
Il2CppClass.0xFC	spine-unity	Spine.ExposedList`1	ConvertAll	Il2CppClass<TOutput>		RuntimeClassTypeAnalysisContext	FC	0	0	0	Move:type Il2CppClass<TOutput>	[v57 @ X10_v1 (Il2CppClass<TOutput>)+FC]
Il2CppClass.0xFC	spine-unity	Spine.ExposedList`1	ConvertAll	Il2CppClass<TOutput>		RuntimeClassTypeAnalysisContext	FC	0	0	0	Move:type Il2CppClass<TOutput>	[v57 @ X10_v1 (Il2CppClass<TOutput>)+FC]
Il2CppClass.0xFC	spine-unity	Spine.ExposedList`1	ConvertAll	Il2CppClass<T>		RuntimeClassTypeAnalysisContext	FC	0	0	0	Move:type Il2CppClass<T>	[v60 @ X9_v3 (Il2CppClass<T>)+FC]
base has no type, from Add of the field T[] and Int32	spine-unity	Spine.ExposedList`1	Find	<untyped>			20	0	0	0	Add	[v109 @ X8_v11+20]
past the last field of the base type	spine-unity	Spine.VertexAttachment	CopyTo	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Int32[]	[v64 @ X0_v11 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.VertexAttachment	CopyTo	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	[v65 @ X0_v6 (System.Array)+18]
value type base	spine-unity	Spine.EventQueue	Drain	System.Int32	System.ValueType	TypeAnalysisContext	0	0	1	0	Add	[v224 @ X26_v6 (System.Int32)+v84 @ stack_-68]
array at 0x0, from Move from the field T[]	spine-unity	Spine.ExposedList`1	FindAllList	T[]		SzArrayTypeAnalysisContext	0	0	0	0	Move:field T[]	[v202 @ X8_v16 (T[])+v108 @ X23_v4 (System.Int32)]
base has no type, from Add of the field T[] and Int32	spine-unity	Spine.ExposedList`1	FindLast	<untyped>			20	0	0	0	Add	[v109 @ X8_v11+20]
base has no type, from Move from an untyped base	spine-unity	Spine.Pool`1	Reset	<untyped>			B0	0	0	0	Move:memory	[v56 @ X8_v8+B0]
base has no type, from Move from an untyped base	spine-unity	Spine.Pool`1	Reset	<untyped>			12E	0	0	0	Move:memory	[v56 @ X8_v8+12E]
base has no type, from Move from an untyped base	spine-unity	Spine.Pool`1	Reset	<untyped>			12E	0	0	0	Move:memory	[v56 @ X8_v8+12E]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.Pool`1	Reset	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	[v151 @ X10_v5-8]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.Pool`1	Reset	<untyped>			8	0	0	0	Call	[v168 @ X0_v5+8]
base has no type, from Add of Single[] and Int32	spine-unity	Spine.RotateTimeline	Apply	<untyped>			20	0	0	0	Add	[v397 @ X9_v10+20]
base has no type, from Add of Single[] and Int32	spine-unity	Spine.RotateTimeline	Apply	<untyped>			20	0	0	0	Add	[v397 @ X9_v10+20]
