base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Add[1]:LocalVariable,LocalVariable	[v201 @ X12_v22+v807 @ X8_v72 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	Add[1]:LocalVariable,0x20	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-ArrayAccess	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	ARRAY_ELEMENT	NO_OWNER	-	Subtract[1]:LocalVariable,MemoryOperand	[v202 @ X12_v13+v808 @ X8_v40 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.VertexAttachment	CopyTo	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Int32[]	NO_KNOWN_LAYOUT:type-has-no-instance-fields	NO_INSTANCE_FIELDS	0	0	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	INSTANCE_FIELD	SEARCH_EMPTY	-	CallVoid[5]:MethodAnalysisContext,FieldReference,0x0,LocalVariable,0x0	[v64 @ X0_v11 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.VertexAttachment	CopyTo	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	NO_KNOWN_LAYOUT:type-has-no-instance-fields	NO_INSTANCE_FIELDS	0	0	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	INSTANCE_FIELD	SEARCH_EMPTY	-	CallVoid[5]:MethodAnalysisContext,FieldReference,0x0,LocalVariable,0x0	[v65 @ X0_v6 (System.Array)+18]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	-	Subtract[2]:LocalVariable,MemoryOperand	[v222 @ X13_v9+v808 @ X8_v40 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Add[1]:LocalVariable,LocalVariable	[v243 @ X11_v13+v808 @ X8_v40 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	Add[1]:LocalVariable,0x20	[v150 @ X24_v5 (Spine.Attachment)+28]
past the last field of the base type	spine-unity	Spine.PathAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	NO_KNOWN_LAYOUT:type-has-no-instance-fields	NO_INSTANCE_FIELDS	0	0	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	INSTANCE_FIELD	SEARCH_EMPTY	-	CallVoid[5]:MethodAnalysisContext,FieldReference,0x0,LocalVariable,0x0	[v61 @ X0_v9 (System.Array)+18]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	-	Subtract[1]:LocalVariable,ArrayAccess	[v203 @ X12_v24+v809 @ X8_v86 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	CheckEqual[1]:LocalVariable,0x0	[v150 @ X24_v5 (Spine.Attachment)+20]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	CheckEqual[1]:LocalVariable,0x0	[v150 @ X24_v5 (Spine.Attachment)+20]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-ArrayAccess	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	ARRAY_ELEMENT	NO_OWNER	-	Multiply[1]:LocalVariable,LocalVariable	[v690 @ X10_v12+v813 @ X8_v29 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	Add[1]:LocalVariable,0x20	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	-	Subtract[2]:LocalVariable,LocalVariable	[v226 @ X13_v17+v814 @ X8_v62 (System.Int32)*4]
